futp pas nsn; λελῡσόμενον
ai pas p3; ἐλύθησαν
per  fdg; λελυκυίαιν
perimp  s2; λελυκὼς ἴσθι<br>λέλυκε
perimp  s3; λελυκὼς ἔστω<br>λελυκέτω
ai pas p2; ἐλύθητε
per  fdn; λελυκυίᾱ
a  msg; λύ̄σαντος
a  mpa; λύ̄σαντας
a  mpd; λύ̄σᾱσι<br>λύ̄σᾱσιν
ii  p1; ἐλύ̄ομεν
ii  p2; ἐλύ̄ετε
ii  p3; ἔλῡον
a  fdg; λῡσά̄σαιν
a  mpn; λύ̄σαντες
fo  p3; λύ̄σοιεν
fo  p2; λύ̄σοιτε
fo  p1; λύ̄σοιμεν
fo mid s1; λῡσοίμην
peri m-p p2; λέλυσθε
fo mid s3; λύ̄σοιτο
fo mid s2; λύ̄σοιο
ainf mid; λύ̄σασθαι
p m-p nsg; λῡομένου
pers  p1; λελυκότες ὦμεν<br>λελύκωμεν
pers  p2; λελυκότες ἦτε<br>λελύκητε
pers  p3; λελυκότες ὦσι<br>λελύκωσι
p  ndg; λῡόντοιν
f pas msn; λυθησόμενος
futp pas msv; λελῡσόμενε
f pas msa; λυθησόμενον
f pas msg; λυθησομένου
f pas msd; λυθησομένῳ
a pas fdn; λυθείσᾱ
futp pas msn; λελῡσόμενος
futpinf pas; λελύ̄σεσθαι
fi mid s3; λύ̄σεται
fi mid s2; λύ̄σῃ<br>λύ̄σει
fi mid s1; λύ̄σομαι
futp pas msd; λελῡσομένῳ
f pas msv; λυθησόμενε
futp pas msa; λελῡσόμενον
pimp m-p s2; λύ̄ου
pimp m-p s3; λῡέσθω
plupi m-p s3; ἐλέλυτο
plupi m-p s2; ἐλέλυσο
plupi m-p s1; ἐλελύμην
f mid msv; λῡσόμενε
f  mpa; λύ̄σοντας
a mid nsd; λῡσαμένῳ
a mid nsg; λῡσαμένου
f  mpd; λύ̄σουσι<br>λύ̄σουσιν
f  mpg; λῡσόντων
f mid msn; λῡσόμενος
f mid msa; λῡσόμενον
a mid nsn; λῡσάμενον
f mid msd; λῡσομένῳ
f mid msg; λῡσομένου
f  mpn; λύ̄σοντες
per  nsn; λελυκός
per  nsd; λελυκότι
per  nsg; λελυκότος
p  npn; λύ̄οντα
p  npd; λύ̄ουσι<br>λύ̄ουσιν
p  npg; λῡόντων
ai  s1; ἔλῡσα
fi  d3; λύ̄σετον
ai  s2; ἔλῡσας
f  nsg; λύ̄σοντος
f  nsd; λύ̄σοντι
fi pas s1; λυθήσομαι
fi pas s3; λυθήσεται
fi pas s2; λυθήσῃ<br>λυθήσει
f  nsn; λῦσον
p m-p mpa; λῡομένους
f pas mdn; λυθησομένω
p m-p mpg; λῡομένων
p m-p mpd; λῡομένοις
futpi pas p1; λελῡσόμεθα
as mid s2; λύ̄σῃ
as mid s3; λύ̄σηται
as mid s1; λύ̄σωμαι
p m-p fdn; λῡομένᾱ
as  p2; λύ̄σητε
as  p3; λύ̄σωσι
as  p1; λύ̄σωμεν
fi mid d2; λύ̄σεσθον
fi mid d3; λύ̄σεσθον
futpi pas d2; λελύ̄σεσθον
futpi pas d3; λελύ̄σεσθον
a pas npn; λυθέντα
a pas npg; λυθέντων
a pas npd; λυθεῖσι<br>λυθεῖσιν
f mid nsg; λῡσομένου
f mid nsd; λῡσομένῳ
p m-p npn; λῡόμενα
f mid nsn; λῡσόμενον
pero  d3; λελυκότε εἰήτην<br>λελυκότε εἴτην<br>λελυκοίτην
p m-p npd; λῡομένοις
p m-p npg; λῡομένων
perimp m-p d3; λελύσθων
per  msg; λελυκότος
per  msd; λελυκότι
per  msa; λελυκότα
per  msn; λελυκώς
pi m-p d2; λύ̄εσθον
pi m-p d3; λύ̄εσθον
per  msv; λελυκώς
as pas p1; λυθῶμεν
as pas p3; λυθῶσι
as pas p2; λυθῆτε
p m-p msg; λῡομένου
p m-p msd; λῡομένῳ
per m-p npn; λελῡομενα
ai pas d2; ἐλύθητον
pero  s1; λελυκὼς εἴην<br>λελύκοιμι<br>λελύκοίην
pero  s3; λελυκὼς εἴη<br>λελύκοι<br>λελύκοίη
pero  s2; λελυκὼς εἴης<br>λελύκοις<br>λελύκοίης
per m-p npg; λελῡομένων
per m-p npd; λελῡομένοις
aimp pas s3; λυθήτω
per m-p fsv; λελῡομένη
aimp pas s2; λύθητι
p m-p msn; λῡόμενος
ai pas d3; ἐλυθήτην
fo  s2; λύ̄σοις
fo  s3; λύ̄σοι
fo  s1; λύ̄σοιμι
pero m-p p3; λελυμένοι εἴησαν<br>λελυμένοι εἶεν
futp pas fpn; λελῡσόμεναι
