λυθήσεσθον; λυθήσεσθον<br><br>fi pas d2<br>fi pas d3
λυθήσοιντο; λυθήσοιντο<br><br>fo pas p3
λυοίμην; λῡοίμην<br><br>po m-p s1
λύσασθον; λύ̄σασθον<br><br>aimp mid d2
λύσετε; λύ̄σετε<br><br>fi  p2
ἔλυσας; ἔλῡσας<br><br>ai  s2
λυθήσει; λυθήσῃ / λυθήσει<br><br>fi pas s2
λυθείητε; λυθεῖτε / λυθείητε<br><br>ao pas p2
λύομεν; λύ̄ομεν<br><br>pi  p1
λυσοίσθην; λῡσοίσθην<br><br>fo mid d3
λυσάσθων; λῡσάσθων<br><br>aimp mid d3<br>aimp mid p3
λύσωσι; λύ̄σωσι<br><br>as  p3
λυθεῖμεν; λυθεῖμεν / λυθείημεν<br><br>ao pas p1
λυθησοίμεθα; λυθησοίμεθα<br><br>fo pas p1
λύσοισθε; λύ̄σοισθε<br><br>fo mid p2
λύομαι; λύ̄ομαι<br><br>pi m-p s1
ἐλύσαντο; ἐλύ̄σαντο<br><br>ai mid p3
λύοιντο; λύ̄οιντο<br><br>po m-p p3
λυθείημεν; λυθεῖμεν / λυθείημεν<br><br>ao pas p1
λύθητον; λύθητον<br><br>aimp pas d2
λυσοίμεθα; λῡσοίμεθα<br><br>fo mid p1
λύοιμι; λύ̄οιμι<br><br>po  s1
ἐλύσαμεν; ἐλύ̄σαμεν<br><br>ai  p1
λῦσαι; λῦσαι<br><br>ainf <br>aimp mid s2
λύσαιμεν; λύ̄σαιμεν<br><br>ao  p1
λύητε; λύ̄ητε<br><br>ps  p2
λύσατον; λύ̄σατον<br><br>aimp  d2
λυθῶσι; λυθῶσι<br><br>as pas p3
